slide	subclass	layer	mean_region_num	mean_enrich_num	mean_glut_num	mean_gaba_num	mean_glut_gaba_ratio	sample_n
C57BL6J-1.027	329 ABC NN	layer 1	2	1.66666666666667	4.41666666666667	1.16666666666667	5.125	2
C57BL6J-1.027	330 VLMC NN	layer 1	1	12	15.5	7.5	2.05	2
C57BL6J-1.027	330 VLMC NN	layer 2/3	1	2	138	17	8.11764705882353	1
C57BL6J-1.027	331 Peri NN	layer 1	2.5	4.41666666666667	6.33333333333333	3.75	1.55555555555556	2
C57BL6J-1.027	331 Peri NN	layer 2/3	1	3	31	6	5.16666666666667	1
C57BL6J-1.027	332 SMC NN	layer 1	1	2	7	6	1.16666666666667	1
C57BL6J-1.027	332 SMC NN	layer 2/3	1	3	123	21	5.85714285714286	1
C57BL6J-1.027	333 Endo NN	layer 1	2	32.75	9.5	4.5	2.175	2
C57BL6J-1.027	333 Endo NN	layer 2/3	2	9	19	2.5	7.6	1
C57BL6J-1.027	334 Microglia NN	layer 1	2.5	11.9166666666667	6.16666666666667	2.58333333333333	2.28571428571429	2
C57BL6J-1.027	334 Microglia NN	layer 2/3	2	11.5	54.5	6	9.08333333333333	1
C57BL6J-1.027	335 BAM NN	layer 1	2	1.5	6.5	5	1.3	1
C57BL6J-1.028	006 L4/5 IT CTX Glut	layer 2/3	1	56	146	13	11.2307692307692	1
C57BL6J-1.028	007 L2/3 IT CTX Glut	layer 1	5	30.8333333333333	30.8333333333333	3.83333333333333	8.04347826086956	1
C57BL6J-1.028	007 L2/3 IT CTX Glut	layer 2/3	1	280	390	31	12.5806451612903	1
C57BL6J-1.028	046 Vip Gaba	layer 1	3	2.66666666666667	16.3333333333333	7.33333333333333	2.22727272727273	1
C57BL6J-1.028	046 Vip Gaba	layer 2/3	2	8	112.5	17	6.61764705882353	1
C57BL6J-1.028	047 Sncg Gaba	layer 1	4	1.25	8	4.5	1.77777777777778	1
C57BL6J-1.028	047 Sncg Gaba	layer 2/3	1	5	242	36	6.72222222222222	1
C57BL6J-1.028	049 Lamp5 Gaba	layer 1	2	6.5	23	9.5	2.42105263157895	1
C57BL6J-1.028	049 Lamp5 Gaba	layer 2/3	2	3.5	122.5	12.5	9.8	1
C57BL6J-1.028	051 Pvalb chandelier Gaba	layer 1	2	1.5	23.5	4	5.875	1
C57BL6J-1.028	051 Pvalb chandelier Gaba	layer 2/3	1	2	118	17	6.94117647058824	1
C57BL6J-1.028	052 Pvalb Gaba	layer 1	2	1.5	15	5.5	2.72727272727273	1
C57BL6J-1.028	052 Pvalb Gaba	layer 2/3	1	17	359	49	7.3265306122449	1
C57BL6J-1.028	053 Sst Gaba	layer 1	2	3	29	10.5	2.76190476190476	1
C57BL6J-1.028	053 Sst Gaba	layer 2/3	2	8.5	161	25	6.44	1
C57BL6J-1.028	056 Sst Chodl Gaba	layer 1	1	1	34	8	4.25	1
C57BL6J-1.028	319 Astro-TE NN	layer 1	4	20.75	20.25	5.75	3.52173913043478	1
C57BL6J-1.028	319 Astro-TE NN	layer 2/3	1	82	294	33	8.90909090909091	1
C57BL6J-1.028	326 OPC NN	layer 1	2	11	29	5	5.8	1
C57BL6J-1.028	326 OPC NN	layer 2/3	2	11.5	131	15.5	8.45161290322581	1
C57BL6J-1.028	327 Oligo NN	layer 1	4	4	25.25	6.5	3.88461538461538	1
C57BL6J-1.028	327 Oligo NN	layer 2/3	2	2.5	89.5	12.5	7.16	1
C57BL6J-1.028	328 OEC NN	layer 1	2	2.5	30	6.5	4.61538461538461	1
C57BL6J-1.028	329 ABC NN	layer 1	2	1.5	33	6	5.5	1
C57BL6J-1.028	330 VLMC NN	layer 1	6	5	14.5	3.16666666666667	4.57894736842105	1
C57BL6J-1.028	330 VLMC NN	layer 2/3	1	1	44	5	8.8	1
C57BL6J-1.028	331 Peri NN	layer 1	3	5.33333333333333	33	7.66666666666667	4.30434782608696	1
C57BL6J-1.028	331 Peri NN	layer 2/3	3	3.66666666666667	64	8	8	1
C57BL6J-1.028	332 SMC NN	layer 1	2	7	63	10	6.3	1
C57BL6J-1.028	333 Endo NN	layer 1	4	33.25	33	9	3.66666666666667	1
C57BL6J-1.028	333 Endo NN	layer 2/3	2	54.5	192	21	9.14285714285714	1
C57BL6J-1.028	334 Microglia NN	layer 1	3	11.3333333333333	18.3333333333333	4.33333333333333	4.23076923076923	1
C57BL6J-1.028	334 Microglia NN	layer 2/3	2	19.5	165.5	21.5	7.69767441860465	1
C57BL6J-1.028	335 BAM NN	layer 1	3	3	28.6666666666667	5.33333333333333	5.375	1
C57BL6J-1.028	338 Lymphoid NN	layer 1	1	1	28	6	4.66666666666667	1
C57BL6J-1.028	338 Lymphoid NN	layer 2/3	1	2	179	25	7.16	1
C57BL6J-1.029	006 L4/5 IT CTX Glut	layer 2/3	2	71.5	209	28.5	7.33333333333333	1
C57BL6J-1.029	006 L4/5 IT CTX Glut	layer 5	1	21	21	1	21	1
C57BL6J-1.029	007 L2/3 IT CTX Glut	layer 1	2	19.5	19.5	6.5	3	1
C57BL6J-1.029	007 L2/3 IT CTX Glut	layer 2/3	1	280	385	46	8.3695652173913	1
C57BL6J-1.029	039 OB Meis2 Thsd7b Gaba	layer 1	1	1	6	2	3	1
C57BL6J-1.029	042 OB-out Frmd7 Gaba	layer 1	1	1	5	7	0.714285714285714	1
C57BL6J-1.029	046 Vip Gaba	layer 1	2	2	8.5	7	1.21428571428571	1
C57BL6J-1.029	046 Vip Gaba	layer 2/3	1	13	210	25	8.4	1
C57BL6J-1.029	047 Sncg Gaba	layer 1	2	1	2	2	1	1
C57BL6J-1.029	047 Sncg Gaba	layer 2/3	1	2	73	11	6.63636363636364	1
C57BL6J-1.029	047 Sncg Gaba	layer 5	1	1	7	1	7	1
C57BL6J-1.029	049 Lamp5 Gaba	layer 1	3	5.33333333333333	5.66666666666667	7.33333333333333	0.772727272727273	1
C57BL6J-1.029	049 Lamp5 Gaba	layer 2/3	2	3.5	70	12	5.83333333333333	1
C57BL6J-1.029	051 Pvalb chandelier Gaba	layer 1	1	1	9	6	1.5	1
C57BL6J-1.029	051 Pvalb chandelier Gaba	layer 2/3	2	3	91	17	5.35294117647059	1
C57BL6J-1.029	052 Pvalb Gaba	layer 1	1	1	4	7	0.571428571428571	1
C57BL6J-1.029	052 Pvalb Gaba	layer 2/3	2	9.5	162	25.5	6.35294117647059	1
C57BL6J-1.029	052 Pvalb Gaba	layer 5	1	7	50	10	5	1
C57BL6J-1.029	053 Sst Gaba	layer 1	1	1	8	9	0.888888888888889	1
