slide	layer	a_layer	b_layer	a_class	b_class	a_glutotal	a_gabatotal	b_glutotal	b_gabatotal	a_region	b_region	a_ei	b_ei	a_merge_region	b_merge_region	a_cell_Neuron_type	b_cell_Neuron_type	a_enrich_class_cell_ids_num	b_enrich_class_cell_ids_num	a_cell_id_n	b_cell_id_n	overlap_a_in_b	overlap_b_in_a
C57BL6J-1.101	layer 5	layer 5	layer 5	053 Sst Gaba	256 SPVC Mafa Glut	1	1	70	13	Temporal association areas, layer 5	Temporal association areas, layer 5	1	5.38461538461539	regions_3	regions_1	Gaba	Glut	1	1	2	195	1	0.0102564102564103
C57BL6J-2.018	layer 5	layer 5	layer 5	053 Sst Gaba	315 DCO UBC Glut	26	10	74	19	Anterior cingulate area, dorsal part, layer 5,Prelimbic area, layer 5,Secondary motor area, layer 5	Anterior cingulate area, dorsal part, layer 5,Prelimbic area, layer 5,Secondary motor area, layer 5	2.6	3.89473684210526	regions_1	regions_1	Gaba	Glut	6	1	134	301	0.828358208955224	0.368770764119601
C57BL6J-2.018	layer 5	layer 5	layer 5	053 Sst Gaba	315 DCO UBC Glut	0	2	74	19	Prelimbic area, layer 5	Anterior cingulate area, dorsal part, layer 5,Prelimbic area, layer 5,Secondary motor area, layer 5	0	3.89473684210526	regions_2	regions_1	Gaba	Glut	1	1	2	301	1	0.00664451827242525
C57BL6J-2.020	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	114 COAa-PAA-MEA Barhl2 Glut	1	1	38	7	Agranular insular area, ventral part, layer 2/3	Agranular insular area, ventral part, layer 2/3,Orbital area, lateral part, layer 2/3	1	5.42857142857143	regions_4	regions_1	Gaba	Glut	1	2	3	118	1	0.0254237288135593
C57BL6J-2.021	layer 2/3	layer 2/3	layer 2/3	049 Lamp5 Gaba	114 COAa-PAA-MEA Barhl2 Glut	13	4	27	4	Agranular insular area, ventral part, layer 2/3	Agranular insular area, ventral part, layer 2/3	3.25	6.75	regions_2	regions_1	Gaba	Glut	2	1	52	86	1	0.604651162790698
C57BL6J-2.021	layer 2/3	layer 2/3	layer 2/3	053 Sst Gaba	114 COAa-PAA-MEA Barhl2 Glut	3	1	27	4	Agranular insular area, ventral part, layer 2/3	Agranular insular area, ventral part, layer 2/3	3	6.75	regions_3	regions_1	Gaba	Glut	1	1	14	86	1	0.162790697674419
C57BL6J-2.027	layer 5	layer 5	layer 5	048 RHP-COA Ndnf Gaba	114 COAa-PAA-MEA Barhl2 Glut	15	5	25	6	Agranular insular area, posterior part, layer 5,Gustatory areas, layer 5	Gustatory areas, layer 5,Agranular insular area, posterior part, layer 5	3	4.16666666666667	regions_1	regions_1	Gaba	Glut	1	2	73	96	1	0.760416666666667
C57BL6J-2.030	layer 2/3	layer 2/3	layer 2/3	046 Vip Gaba	113 MEA-COA-BMA Ccdc42 Glut	1	1	104	14	Secondary motor area, layer 2/3	Anterior cingulate area, dorsal part, layer 2/3,Anterior cingulate area, ventral part, layer 2/3,Secondary motor area, layer 2/3	1	7.42857142857143	regions_2	regions_1	Gaba	Glut	1	1	3	206	1	0.0145631067961165
C57BL6J-2.030	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	113 MEA-COA-BMA Ccdc42 Glut	23	4	104	14	Anterior cingulate area, dorsal part, layer 2/3	Anterior cingulate area, dorsal part, layer 2/3,Anterior cingulate area, ventral part, layer 2/3,Secondary motor area, layer 2/3	5.75	7.42857142857143	regions_3	regions_1	Gaba	Glut	4	1	63	206	1	0.305825242718447
C57BL6J-2.033	layer 2/3	layer 2/3	layer 2/3	046 Vip Gaba	113 MEA-COA-BMA Ccdc42 Glut	0	1	36	10	Agranular insular area, posterior part, layer 2/3	Agranular insular area, posterior part, layer 2/3,Visceral area, layer 2/3	0	3.6	regions_4	regions_1	Gaba	Glut	1	1	3	105	1	0.0285714285714286
C57BL6J-3.001	layer 5	layer 5	layer 5	047 Sncg Gaba	113 MEA-COA-BMA Ccdc42 Glut	3	2	134	19	Anterior cingulate area, ventral part, layer 5	Anterior cingulate area, ventral part, layer 5,Retrosplenial area, ventral part, layer 5	1.5	7.05263157894737	regions_2	regions_1	Gaba	Glut	1	1	27	257	1	0.105058365758755
C57BL6J-3.003	layer 6a	layer 6a	layer 6a	050 Lamp5 Lhx6 Gaba	115 MS-SF Bsx Glut	32	8	159	28	Infralimbic area, layer 6a,Orbital area, medial part, layer 6a	Orbital area, medial part, layer 6a,Infralimbic area, layer 6a	4	5.67857142857143	regions_2	regions_1	Gaba	Glut	1	4	65	326	1	0.199386503067485
C57BL6J-3.013	layer 2/3	layer 2/3	layer 2/3	046 Vip Gaba	114 COAa-PAA-MEA Barhl2 Glut	3	1	34	6	Agranular insular area, ventral part, layer 2/3	Agranular insular area, ventral part, layer 2/3,Agranular insular area, dorsal part, layer 2/3	3	5.66666666666667	regions_7	regions_1	Gaba	Glut	1	1	4	96	1	0.0416666666666667
C57BL6J-3.013	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	114 COAa-PAA-MEA Barhl2 Glut	3	1	34	6	Agranular insular area, ventral part, layer 2/3	Agranular insular area, ventral part, layer 2/3,Agranular insular area, dorsal part, layer 2/3	3	5.66666666666667	regions_6	regions_1	Gaba	Glut	1	1	4	96	1	0.0416666666666667
C57BL6J-3.013	layer 6a	layer 6a	layer 6a	053 Sst Gaba	114 COAa-PAA-MEA Barhl2 Glut	13	2	28	2	Agranular insular area, ventral part, layer 6a	Agranular insular area, ventral part, layer 6a,Agranular insular area, dorsal part, layer 6a	6.5	14	regions_3	regions_1	Gaba	Glut	2	1	25	49	1	0.510204081632653
C57BL6J-3.020	layer 5	layer 5	layer 5	047 Sncg Gaba	114 COAa-PAA-MEA Barhl2 Glut	19	2	96	30	Agranular insular area, posterior part, layer 5	Agranular insular area, posterior part, layer 5,Gustatory areas, layer 5	9.5	3.2	regions_5	regions_1	Gaba	Glut	1	3	39	269	1	0.144981412639405
C57BL6J-3.020	layer 5	layer 5	layer 5	053 Sst Gaba	114 COAa-PAA-MEA Barhl2 Glut	7	7	96	30	Agranular insular area, posterior part, layer 5	Agranular insular area, posterior part, layer 5,Gustatory areas, layer 5	1	3.2	regions_7	regions_1	Gaba	Glut	4	3	34	269	1	0.12639405204461
C57BL6J-3.020	layer 6a	layer 6a	layer 6a	049 Lamp5 Gaba	113 MEA-COA-BMA Ccdc42 Glut	126	37	265	50	Agranular insular area, posterior part, layer 6a,Visceral area, layer 6a,Supplemental somatosensory area, layer 6a	Agranular insular area, posterior part, layer 6a,Visceral area, layer 6a	3.40540540540541	5.3	regions_3	regions_1	Gaba	Glut	5	1	324	641	0.833333333333333	0.421216848673947
C57BL6J-3.020	layer 6a	layer 6a	layer 6a	051 Pvalb chandelier Gaba	113 MEA-COA-BMA Ccdc42 Glut	19	5	265	50	Agranular insular area, posterior part, layer 6a	Agranular insular area, posterior part, layer 6a,Visceral area, layer 6a	3.8	5.3	regions_2	regions_1	Gaba	Glut	1	1	42	641	0.928571428571429	0.0608424336973479
C57BL6J-3.021	layer 5	layer 5	layer 5	052 Pvalb Gaba	114 COAa-PAA-MEA Barhl2 Glut	81	35	174	44	Agranular insular area, posterior part, layer 5,Gustatory areas, layer 5	Gustatory areas, layer 5,Agranular insular area, posterior part, layer 5,Visceral area, layer 5	2.31428571428571	3.95454545454545	regions_5	regions_1	Gaba	Glut	17	1	222	404	1	0.54950495049505
C57BL6J-4.001	layer 5	layer 5	layer 5	046 Vip Gaba	114 COAa-PAA-MEA Barhl2 Glut	2	2	27	15	Agranular insular area, posterior part, layer 5	Agranular insular area, posterior part, layer 5	1	1.8	regions_5	regions_1	Gaba	Glut	1	1	14	135	1	0.103703703703704
C57BL6J-4.002	layer 5	layer 5	layer 5	049 Lamp5 Gaba	114 COAa-PAA-MEA Barhl2 Glut	1	2	41	18	Agranular insular area, posterior part, layer 5	Agranular insular area, posterior part, layer 5,Gustatory areas, layer 5,Agranular insular area, dorsal part, layer 5	0.5	2.27777777777778	regions_5	regions_1	Gaba	Glut	1	1	14	141	1	0.099290780141844
C57BL6J-4.003	layer 6a	layer 6a	layer 6a	052 Pvalb Gaba	114 COAa-PAA-MEA Barhl2 Glut	0	1	184	12	Primary visual area, layer 6a	Primary visual area, layer 6a,Posterolateral visual area, layer 6a	0	15.3333333333333	regions_3	regions_1	Gaba	Glut	1	1	2	289	1	0.0069204152249135
C57BL6J-3.002	layer 5	layer 5	layer 5	052 Pvalb Gaba	115 MS-SF Bsx Glut	3	2	220	37	Infralimbic area, layer 5	Infralimbic area, layer 5,Anterior cingulate area, ventral part, layer 5	1.5	5.94594594594595	regions_4	regions_2	Gaba	Glut	2	2	7	565	1	0.0123893805309735
C57BL6J-3.002	layer 2/3	layer 2/3	layer 2/3	047 Sncg Gaba	142 HY Gnrh1 Glut	18	1	115	11	Orbital area, ventrolateral part, layer 2/3	Orbital area, ventrolateral part, layer 2/3,Orbital area, medial part, layer 2/3	18	10.4545454545455	regions_4	regions_1	Gaba	Glut	1	1	21	200	1	0.105
C57BL6J-3.007	layer 2/3	layer 2/3	layer 2/3	049 Lamp5 Gaba	114 COAa-PAA-MEA Barhl2 Glut	1	1	69	7	Orbital area, lateral part, layer 2/3	Orbital area, lateral part, layer 2/3	1	9.85714285714286	regions_5	regions_1	Gaba	Glut	1	1	4	120	1	0.0333333333333333
C57BL6J-3.007	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	114 COAa-PAA-MEA Barhl2 Glut	1	1	69	7	Orbital area, lateral part, layer 2/3	Orbital area, lateral part, layer 2/3	1	9.85714285714286	regions_7	regions_1	Gaba	Glut	1	1	5	120	1	0.0416666666666667
C57BL6J-2.015	layer 2/3	layer 2/3	layer 2/3	046 Vip Gaba	113 MEA-COA-BMA Ccdc42 Glut	75	10	108	10	Orbital area, ventrolateral part, layer 2/3,Orbital area, lateral part, layer 2/3	Orbital area, ventrolateral part, layer 2/3,Orbital area, lateral part, layer 2/3	7.5	10.8	regions_2	regions_1	Gaba	Glut	4	1	153	202	1	0.757425742574257
C57BL6J-2.015	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	113 MEA-COA-BMA Ccdc42 Glut	58	8	108	10	Orbital area, lateral part, layer 2/3	Orbital area, ventrolateral part, layer 2/3,Orbital area, lateral part, layer 2/3	7.25	10.8	regions_4	regions_1	Gaba	Glut	4	1	102	202	0.970588235294118	0.49009900990099
