subclass	true_cluster_n	true_mean_cluster_size	true_median_cluster_size	random_sample_n	random_mean_of_replicate_maxima	random_median_of_replicate_maxima	random_q1	random_q3	random_min	random_max	difference_true_mean_minus_random_max_mean	fold_change_true_mean_over_random_max_mean	p_one_sided_true_gt	p_one_sided_true_lt	p_two_sided
100 AHN Onecut3 Gaba	1	158.0	158.0	428	148.10046728971963	154.0	117.0	174.0	16.0	258.0	9.899532710280369	1.0668433590483852	0.46386946386946387	0.5524475524475524	0.8065268065268065
101 ZI Pax6 Gaba	2	167.5	167.5	500	356.174	372.0	314.5	427.0	90.0	561.0	-188.67399999999998	0.47027576409283106	0.9461077844311377	0.05588822355289421	0.0718562874251497
113 MEA-COA-BMA Ccdc42 Glut	105	120.27619047619048	95.0	500	618.518	605.5	533.0	684.25	353.0	1145.0	-498.24180952380954	0.19445867456758004	1.0	0.001996007984031936	0.007984031936127744
114 COAa-PAA-MEA Barhl2 Glut	32	125.6875	112.0	500	480.75	483.0	445.0	513.0	341.0	727.0	-355.0625	0.26144045761830476	1.0	0.001996007984031936	0.001996007984031936
115 MS-SF Bsx Glut	9	239.22222222222223	238.0	500	614.044	576.5	486.5	661.25	204.0	1613.0	-374.82177777777775	0.3895848216450649	0.998003992015968	0.003992015968063872	0.06986027944111776
117 LHA Barhl2 Glut	1	83.0	83.0	138	73.20289855072464	77.0	58.0	86.0	34.0	111.0	9.79710144927536	1.1338348841813501	0.4172661870503597	0.6474820143884892	0.7913669064748201
121 MEA-BST Otp Zic2 Glut	1	97.0	97.0	419	146.84248210023867	155.0	127.0	174.0	68.0	211.0	-49.84248210023867	0.6605717814943033	0.8976190476190476	0.11904761904761904	0.14285714285714285
128 VMH Fezf1 Glut	1	116.0	116.0	498	80.50602409638554	83.0	69.0	95.0	23.0	129.0	35.493975903614455	1.4408859622867405	0.006012024048096192	0.9959919839679359	0.04809619238476954
129 VMH Nr5a1 Glut	1	66.0	66.0	451	93.35254988913526	96.0	77.0	110.0	29.0	145.0	-27.35254988913526	0.7069972922901524	0.8827433628318584	0.1261061946902655	0.21017699115044247
142 HY Gnrh1 Glut	2	370.0	370.0	500	657.582	673.0	543.25	780.5	235.0	1005.0	-287.582	0.562667469608353	0.9640718562874252	0.03792415169660679	0.059880239520958084
144 MM Foxb1 Glut	1	198.0	198.0	494	180.20242914979758	187.0	145.0	213.0	82.0	270.0	17.79757085020242	1.0987643226241293	0.39191919191919194	0.6181818181818182	0.7171717171717171
164 APN C1ql4 Glut	1	83.0	83.0	496	75.54233870967742	75.0	69.0	84.0	35.0	113.0	7.4576612903225765	1.0987216098641543	0.29979879275653926	0.7404426559356136	0.5311871227364185
177 SCig-an-PPT Foxb1 Glut	1	129.0	129.0	489	67.88752556237219	52.0	46.0	63.0	23.0	262.0	61.11247443762781	1.9002018254661566	0.11224489795918367	0.889795918367347	0.11224489795918367
187 SCsg Pde5a Glut	16	150.6875	143.0	500	227.11	214.0	191.75	253.0	114.0	480.0	-76.42250000000001	0.6635000660472898	0.9640718562874252	0.03792415169660679	0.1596806387225549
