slide	subclass	layer	true_file_count	random_sample_n	true_region_num	region_num_p_one_sided_true_gt	region_num_p_one_sided_true_lt	region_num_p_two_sided	true_glut_num	glut_num_p_one_sided_true_gt	glut_num_p_one_sided_true_lt	glut_num_p_two_sided	true_gaba_num	gaba_num_p_one_sided_true_gt	gaba_num_p_one_sided_true_lt	gaba_num_p_two_sided	true_ei_ratio	ei_ratio_p_one_sided_true_gt	ei_ratio_p_one_sided_true_lt	ei_ratio_p_two_sided
C57BL6J-1.114	319 Astro-TE NN	layer 4	1	163	1.000000	1	1	1	5.000000	0.79878	0.231707	0.426829	1.000000	0.719512	0.560976	1	5.000000	0.881356	0.169492	0.330508
C57BL6J-1.114	326 OPC NN	layer 1	1	496	2.000000	0.778672	0.643863	1	7.500000	0.581489	0.434608	0.690141	5.500000	0.255533	0.770624	0.629779	2.550000	0.415449	0.586639	0.889353
C57BL6J-1.114	326 OPC NN	layer 2/3	1	491	2.000000	0.522358	0.920732	1	132.500000	0.445122	0.556911	0.916667	15.000000	0.386179	0.636179	0.981707	10.388889	0.404124	0.597938	0.979381
C57BL6J-1.114	327 Oligo NN	layer 1	1	495	2.000000	0.830645	0.564516	1	3.500000	0.739919	0.278226	0.451613	3.500000	0.342742	0.699597	0.887097	0.700000	0.980603	0.0215517	0.12931
C57BL6J-1.114	327 Oligo NN	layer 2/3	1	485	1.000000	1	0.467078	0.549383	161.000000	0.290123	0.718107	0.734568	19.000000	0.238683	0.77572	0.563786	8.473684	0.777302	0.224839	0.389722
C57BL6J-1.114	327 Oligo NN	layer 5	1	170	1.000000	1	1	1	31.000000	0.0818713	0.94152	0.192982	4.000000	0.450292	0.701754	0.807018	7.750000	0.193333	0.813333	0.533333
C57BL6J-1.114	329 ABC NN	layer 1	1	500	3.000000	0.692615	0.670659	1	4.000000	0.844311	0.179641	0.345309	5.000000	0.207585	0.824351	0.449102	1.096154	0.989899	0.0121212	0.0686869
C57BL6J-1.114	330 VLMC NN	layer 1	1	499	2.000000	0.926	0.362	0.642	14.500000	0.14	0.868	0.23	8.000000	0.066	0.952	0.066	1.616667	0.856275	0.145749	0.261134
C57BL6J-1.114	331 Peri NN	layer 1	1	497	3.000000	0.423695	0.871486	0.590361	5.000000	0.700803	0.331325	0.518072	4.000000	0.335341	0.718876	0.821285	1.066667	0.960168	0.0419287	0.134172
C57BL6J-1.114	331 Peri NN	layer 2/3	1	487	4.000000	0.00819672	1	0.00819672	65.250000	0.782787	0.219262	0.438525	6.250000	0.788934	0.213115	0.409836	10.782609	0.332632	0.669474	0.846316
C57BL6J-1.114	331 Peri NN	layer 5	1	172	1.000000	1	1	1	20.000000	0.421965	0.635838	0.763006	3.000000	0.566474	0.67052	1	6.666667	0.344595	0.662162	0.885135
C57BL6J-1.114	332 SMC NN	layer 1	1	495	3.000000	0.318548	0.935484	0.534274	16.666667	0.0887097	0.913306	0.0887097	3.333333	0.354839	0.647177	0.899194	3.500000	0.237473	0.784314	0.655773
