slide	subclass	layer	true_region_num	true_file_count	random_sample_n	true_gt_random_count	true_gt_random_ratio	perm_p_value_one_sided
C57BL6J-1.034	056 Sst Chodl Gaba	layer 5	1.000000	1	448	0	0.000000	1
C57BL6J-1.034	318 Astro-NT NN	layer 1	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	319 Astro-TE NN	layer 1	3.000000	1	500	17	0.034000	0.966068
C57BL6J-1.034	319 Astro-TE NN	layer 2/3	6.000000	1	500	314	0.628000	0.373253
C57BL6J-1.034	319 Astro-TE NN	layer 5	4.000000	1	500	324	0.648000	0.353293
C57BL6J-1.034	326 OPC NN	layer 1	6.000000	1	500	456	0.912000	0.0898204
C57BL6J-1.034	326 OPC NN	layer 2/3	5.000000	1	500	317	0.634000	0.367265
C57BL6J-1.034	326 OPC NN	layer 5	2.000000	1	500	44	0.088000	0.912176
C57BL6J-1.034	327 Oligo NN	layer 1	2.000000	1	499	4	0.008016	0.992
C57BL6J-1.034	327 Oligo NN	layer 2/3	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	327 Oligo NN	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	329 ABC NN	layer 1	2.000000	1	500	10	0.020000	0.98004
C57BL6J-1.034	329 ABC NN	layer 5	1.000000	1	379	0	0.000000	1
C57BL6J-1.034	330 VLMC NN	layer 1	2.000000	1	500	5	0.010000	0.99002
C57BL6J-1.034	330 VLMC NN	layer 2/3	2.000000	1	499	46	0.092184	0.908
C57BL6J-1.034	330 VLMC NN	layer 5	1.000000	1	485	0	0.000000	1
C57BL6J-1.034	331 Peri NN	layer 1	4.000000	1	500	337	0.674000	0.327345
C57BL6J-1.034	331 Peri NN	layer 2/3	2.000000	1	500	2	0.004000	0.996008
C57BL6J-1.034	331 Peri NN	layer 5	2.000000	1	500	50	0.100000	0.9002
C57BL6J-1.034	332 SMC NN	layer 1	4.000000	1	500	313	0.626000	0.37525
C57BL6J-1.034	332 SMC NN	layer 2/3	3.000000	1	500	143	0.286000	0.714571
C57BL6J-1.034	332 SMC NN	layer 5	2.000000	1	479	217	0.453027	0.547917
C57BL6J-1.034	333 Endo NN	layer 1	4.000000	1	500	62	0.124000	0.876248
C57BL6J-1.034	333 Endo NN	layer 2/3	4.000000	1	500	55	0.110000	0.89022
C57BL6J-1.034	333 Endo NN	layer 5	5.000000	1	500	444	0.888000	0.113772
C57BL6J-1.034	334 Microglia NN	layer 1	6.000000	1	500	440	0.880000	0.121756
C57BL6J-1.034	334 Microglia NN	layer 2/3	4.000000	1	500	93	0.186000	0.814371
C57BL6J-1.034	334 Microglia NN	layer 5	4.000000	1	500	350	0.700000	0.301397
C57BL6J-1.034	335 BAM NN	layer 1	2.000000	1	499	72	0.144289	0.856
C57BL6J-1.034	335 BAM NN	layer 2/3	3.000000	1	495	349	0.705051	0.296371
C57BL6J-1.034	335 BAM NN	layer 5	1.000000	1	462	0	0.000000	1
C57BL6J-1.034	337 DC NN	layer 2/3	1.000000	1	463	0	0.000000	1
C57BL6J-1.034	338 Lymphoid NN	layer 2/3	1.000000	1	489	0	0.000000	1
C57BL6J-1.034	338 Lymphoid NN	layer 5	1.000000	1	319	0	0.000000	1
C57BL6J-1.035	001 CLA-EPd-CTX Car3 Glut	layer 2/3	1.000000	1	483	0	0.000000	1
C57BL6J-1.035	001 CLA-EPd-CTX Car3 Glut	layer 5	1.000000	1	436	0	0.000000	1
C57BL6J-1.035	004 L6 IT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.035	005 L5 IT CTX Glut	layer 2/3	1.000000	1	477	0	0.000000	1
C57BL6J-1.035	005 L5 IT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.035	006 L4/5 IT CTX Glut	layer 1	1.000000	1	481	0	0.000000	1
C57BL6J-1.035	006 L4/5 IT CTX Glut	layer 2/3	3.000000	1	500	7	0.014000	0.986028
C57BL6J-1.035	006 L4/5 IT CTX Glut	layer 5	2.000000	1	500	31	0.062000	0.938124
C57BL6J-1.035	007 L2/3 IT CTX Glut	layer 1	3.000000	1	500	1	0.002000	0.998004
C57BL6J-1.035	007 L2/3 IT CTX Glut	layer 2/3	1.000000	1	500	0	0.000000	1
C57BL6J-1.035	007 L2/3 IT CTX Glut	layer 5	2.000000	1	429	309	0.720280	0.281395
