slide	sample	subclass	layer	region_num	enrich_num	glut_num	gaba_num	glut_gaba_ratio
C57BL6J-1.027	sample_2	327 Oligo NN	layer 2/3	1	3	80	16	5
C57BL6J-1.027	sample_2	328 OEC NN	layer 1	1	1	7	0	NA
C57BL6J-1.027	sample_2	329 ABC NN	layer 1	2	1.33333333333333	2.33333333333333	0.333333333333333	7
C57BL6J-1.027	sample_2	330 VLMC NN	layer 1	1	18	21	10	2.1
C57BL6J-1.027	sample_2	330 VLMC NN	layer 2/3	1	2	138	17	8.11764705882353
C57BL6J-1.027	sample_2	331 Peri NN	layer 1	3	3.33333333333333	2.66666666666667	3	0.888888888888889
C57BL6J-1.027	sample_2	331 Peri NN	layer 2/3	1	3	31	6	5.16666666666667
C57BL6J-1.027	sample_2	332 SMC NN	layer 2/3	1	3	123	21	5.85714285714286
C57BL6J-1.027	sample_2	333 Endo NN	layer 1	2	35.5	11	4	2.75
C57BL6J-1.027	sample_2	333 Endo NN	layer 2/3	2	9	19	2.5	7.6
C57BL6J-1.027	sample_2	334 Microglia NN	layer 1	2	16.5	9	3.5	2.57142857142857
C57BL6J-1.027	sample_2	334 Microglia NN	layer 2/3	2	11.5	54.5	6	9.08333333333333
C57BL6J-1.028	sample_2	006 L4/5 IT CTX Glut	layer 2/3	1	56	146	13	11.2307692307692
C57BL6J-1.028	sample_2	007 L2/3 IT CTX Glut	layer 1	5	30.8333333333333	30.8333333333333	3.83333333333333	8.04347826086956
C57BL6J-1.028	sample_2	007 L2/3 IT CTX Glut	layer 2/3	1	280	390	31	12.5806451612903
C57BL6J-1.028	sample_2	046 Vip Gaba	layer 1	3	2.66666666666667	16.3333333333333	7.33333333333333	2.22727272727273
C57BL6J-1.028	sample_2	046 Vip Gaba	layer 2/3	2	8	112.5	17	6.61764705882353
C57BL6J-1.028	sample_2	047 Sncg Gaba	layer 1	4	1.25	8	4.5	1.77777777777778
C57BL6J-1.028	sample_2	047 Sncg Gaba	layer 2/3	1	5	242	36	6.72222222222222
C57BL6J-1.028	sample_2	049 Lamp5 Gaba	layer 1	2	6.5	23	9.5	2.42105263157895
C57BL6J-1.028	sample_2	049 Lamp5 Gaba	layer 2/3	2	3.5	122.5	12.5	9.8
C57BL6J-1.028	sample_2	051 Pvalb chandelier Gaba	layer 1	2	1.5	23.5	4	5.875
C57BL6J-1.028	sample_2	051 Pvalb chandelier Gaba	layer 2/3	1	2	118	17	6.94117647058824
C57BL6J-1.028	sample_2	052 Pvalb Gaba	layer 1	2	1.5	15	5.5	2.72727272727273
C57BL6J-1.028	sample_2	052 Pvalb Gaba	layer 2/3	1	17	359	49	7.3265306122449
C57BL6J-1.028	sample_2	053 Sst Gaba	layer 1	2	3	29	10.5	2.76190476190476
C57BL6J-1.028	sample_2	053 Sst Gaba	layer 2/3	2	8.5	161	25	6.44
C57BL6J-1.028	sample_2	056 Sst Chodl Gaba	layer 1	1	1	34	8	4.25
C57BL6J-1.028	sample_2	319 Astro-TE NN	layer 1	4	20.75	20.25	5.75	3.52173913043478
C57BL6J-1.028	sample_2	319 Astro-TE NN	layer 2/3	1	82	294	33	8.90909090909091
C57BL6J-1.028	sample_2	326 OPC NN	layer 1	2	11	29	5	5.8
C57BL6J-1.028	sample_2	326 OPC NN	layer 2/3	2	11.5	131	15.5	8.45161290322581
C57BL6J-1.028	sample_2	327 Oligo NN	layer 1	4	4	25.25	6.5	3.88461538461538
C57BL6J-1.028	sample_2	327 Oligo NN	layer 2/3	2	2.5	89.5	12.5	7.16
C57BL6J-1.028	sample_2	328 OEC NN	layer 1	2	2.5	30	6.5	4.61538461538461
C57BL6J-1.028	sample_2	329 ABC NN	layer 1	2	1.5	33	6	5.5
C57BL6J-1.028	sample_2	330 VLMC NN	layer 1	6	5	14.5	3.16666666666667	4.57894736842105
C57BL6J-1.028	sample_2	330 VLMC NN	layer 2/3	1	1	44	5	8.8
C57BL6J-1.028	sample_2	331 Peri NN	layer 1	3	5.33333333333333	33	7.66666666666667	4.30434782608696
C57BL6J-1.028	sample_2	331 Peri NN	layer 2/3	3	3.66666666666667	64	8	8
C57BL6J-1.028	sample_2	332 SMC NN	layer 1	2	7	63	10	6.3
C57BL6J-1.028	sample_2	333 Endo NN	layer 1	4	33.25	33	9	3.66666666666667
C57BL6J-1.028	sample_2	333 Endo NN	layer 2/3	2	54.5	192	21	9.14285714285714
C57BL6J-1.028	sample_2	334 Microglia NN	layer 1	3	11.3333333333333	18.3333333333333	4.33333333333333	4.23076923076923
C57BL6J-1.028	sample_2	334 Microglia NN	layer 2/3	2	19.5	165.5	21.5	7.69767441860465
C57BL6J-1.028	sample_2	335 BAM NN	layer 1	3	3	28.6666666666667	5.33333333333333	5.375
C57BL6J-1.028	sample_2	338 Lymphoid NN	layer 1	1	1	28	6	4.66666666666667
C57BL6J-1.028	sample_2	338 Lymphoid NN	layer 2/3	1	2	179	25	7.16
C57BL6J-1.029	sample_2	006 L4/5 IT CTX Glut	layer 2/3	2	71.5	209	28.5	7.33333333333333
C57BL6J-1.029	sample_2	006 L4/5 IT CTX Glut	layer 5	1	21	21	1	21
C57BL6J-1.029	sample_2	007 L2/3 IT CTX Glut	layer 1	2	19.5	19.5	6.5	3
C57BL6J-1.029	sample_2	007 L2/3 IT CTX Glut	layer 2/3	1	280	385	46	8.3695652173913
C57BL6J-1.029	sample_2	039 OB Meis2 Thsd7b Gaba	layer 1	1	1	6	2	3
C57BL6J-1.029	sample_2	042 OB-out Frmd7 Gaba	layer 1	1	1	5	7	0.714285714285714
C57BL6J-1.029	sample_2	046 Vip Gaba	layer 1	2	2	8.5	7	1.21428571428571
C57BL6J-1.029	sample_2	046 Vip Gaba	layer 2/3	1	13	210	25	8.4
C57BL6J-1.029	sample_2	047 Sncg Gaba	layer 1	2	1	2	2	1
C57BL6J-1.029	sample_2	047 Sncg Gaba	layer 2/3	1	2	73	11	6.63636363636364
C57BL6J-1.029	sample_2	047 Sncg Gaba	layer 5	1	1	7	1	7
C57BL6J-1.029	sample_2	049 Lamp5 Gaba	layer 1	3	5.33333333333333	5.66666666666667	7.33333333333333	0.772727272727273
C57BL6J-1.029	sample_2	049 Lamp5 Gaba	layer 2/3	2	3.5	70	12	5.83333333333333
C57BL6J-1.029	sample_2	051 Pvalb chandelier Gaba	layer 1	1	1	9	6	1.5
C57BL6J-1.029	sample_2	051 Pvalb chandelier Gaba	layer 2/3	2	3	91	17	5.35294117647059
C57BL6J-1.029	sample_2	052 Pvalb Gaba	layer 1	1	1	4	7	0.571428571428571
C57BL6J-1.029	sample_2	052 Pvalb Gaba	layer 2/3	2	9.5	162	25.5	6.35294117647059
C57BL6J-1.029	sample_2	052 Pvalb Gaba	layer 5	1	7	50	10	5
C57BL6J-1.029	sample_2	053 Sst Gaba	layer 1	1	1	8	9	0.888888888888889
C57BL6J-1.029	sample_2	053 Sst Gaba	layer 2/3	1	6	97	17	5.70588235294118
C57BL6J-1.029	sample_2	095 DMH Prdm13 Gaba	layer 1	1	1	5	3	1.66666666666667
C57BL6J-1.029	sample_2	113 MEA-COA-BMA Ccdc42 Glut	layer 1	1	1	3	0.5	6
C57BL6J-1.029	sample_2	319 Astro-TE NN	layer 1	3	29.5	6.75	2.5	2.7
C57BL6J-1.029	sample_2	319 Astro-TE NN	layer 2/3	3	44.6666666666667	148.333333333333	21.6666666666667	6.84615384615385
C57BL6J-1.029	sample_2	320 Astro-OLF NN	layer 1	1	1	6	2	3
C57BL6J-1.029	sample_2	321 Astroependymal NN	layer 1	1	1	8	4	2
C57BL6J-1.029	sample_2	326 OPC NN	layer 1	3	10.3333333333333	7.66666666666667	4	1.91666666666667
C57BL6J-1.029	sample_2	326 OPC NN	layer 2/3	2	17	136	22	6.18181818181818
C57BL6J-1.029	sample_2	326 OPC NN	layer 5	1	8	53	7	7.57142857142857
C57BL6J-1.029	sample_2	327 Oligo NN	layer 1	2	2	4.5	3	1.5
C57BL6J-1.029	sample_2	327 Oligo NN	layer 2/3	1	12	202	27	7.48148148148148
C57BL6J-1.029	sample_2	328 OEC NN	layer 1	2	3	2.33333333333333	1.33333333333333	1.75
C57BL6J-1.029	sample_2	329 ABC NN	layer 1	3	2	6.33333333333333	0.666666666666667	9.5
C57BL6J-1.029	sample_2	330 VLMC NN	layer 1	3	6.5	7.25	1.5	4.83333333333333
C57BL6J-1.029	sample_2	330 VLMC NN	layer 2/3	2	1.5	94.5	13.5	7
C57BL6J-1.029	sample_2	331 Peri NN	layer 1	2	3	2.33333333333333	3	0.777777777777778
C57BL6J-1.029	sample_2	331 Peri NN	layer 2/3	1	18	324	39	8.30769230769231
C57BL6J-1.029	sample_2	332 SMC NN	layer 1	4	3	4.75	1.5	3.16666666666667
C57BL6J-1.029	sample_2	332 SMC NN	layer 2/3	1	4	84	16	5.25
C57BL6J-1.029	sample_2	333 Endo NN	layer 1	4	31.5	6	4.25	1.41176470588235
C57BL6J-1.029	sample_2	333 Endo NN	layer 2/3	5	25.6	64	8.6	7.44186046511628
C57BL6J-1.029	sample_2	333 Endo NN	layer 5	1	33	48	8	6
C57BL6J-1.029	sample_2	334 Microglia NN	layer 1	2	15	8	6.5	1.23076923076923
C57BL6J-1.029	sample_2	334 Microglia NN	layer 2/3	3	18.3333333333333	80	10.6666666666667	7.5
C57BL6J-1.029	sample_2	334 Microglia NN	layer 5	1	18	74	9	8.22222222222222
C57BL6J-1.029	sample_2	335 BAM NN	layer 1	2	1.5	5	0.5	10
C57BL6J-1.029	sample_2	335 BAM NN	layer 2/3	2	1	14.5	2	7.25
C57BL6J-1.029	sample_2	338 Lymphoid NN	layer 1	2	1.5	5	4	1.25
C57BL6J-1.029	sample_2	338 Lymphoid NN	layer 2/3	1	1	133	17	7.82352941176471
