sample,slide,pair_key_unordered,a_class,b_class,overlap_a_in_b
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 039 OB Meis2 Thsd7b Gaba,035 OB Eomes Ms4a15 Glut,039 OB Meis2 Thsd7b Gaba,0.5064655172413793
true_data,C57BL6J-1.026,049 Lamp5 Gaba || 051 Pvalb chandelier Gaba,049 Lamp5 Gaba,051 Pvalb chandelier Gaba,0.725925925925926
true_data,C57BL6J-1.026,049 Lamp5 Gaba || 052 Pvalb Gaba,049 Lamp5 Gaba,052 Pvalb Gaba,0.06666666666666667
true_data,C57BL6J-1.026,049 Lamp5 Gaba || 053 Sst Gaba,049 Lamp5 Gaba,053 Sst Gaba,0.7481481481481481
true_data,C57BL6J-1.026,051 Pvalb chandelier Gaba || 052 Pvalb Gaba,051 Pvalb chandelier Gaba,052 Pvalb Gaba,0.017391304347826087
true_data,C57BL6J-1.026,051 Pvalb chandelier Gaba || 053 Sst Gaba,051 Pvalb chandelier Gaba,053 Sst Gaba,0.5739130434782609
true_data,C57BL6J-1.026,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.18867924528301888
sample_1,C57BL6J-1.026,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.5833333333333334
sample_1,C57BL6J-1.026,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.3333333333333333
sample_1,C57BL6J-1.026,007 L2/3 IT CTX Glut || 051 Pvalb chandelier Gaba,007 L2/3 IT CTX Glut,051 Pvalb chandelier Gaba,0.125
sample_1,C57BL6J-1.026,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.6
sample_1,C57BL6J-1.026,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.3333333333333333
sample_1,C57BL6J-1.026,007 L2/3 IT CTX Glut || 053 Sst Gaba,007 L2/3 IT CTX Glut,053 Sst Gaba,0.13333333333333333
sample_1,C57BL6J-1.026,046 Vip Gaba || 047 Sncg Gaba,046 Vip Gaba,047 Sncg Gaba,0.25
sample_1,C57BL6J-1.026,046 Vip Gaba || 049 Lamp5 Gaba,046 Vip Gaba,049 Lamp5 Gaba,0.75
sample_1,C57BL6J-1.026,046 Vip Gaba || 051 Pvalb chandelier Gaba,046 Vip Gaba,051 Pvalb chandelier Gaba,0.75
sample_1,C57BL6J-1.026,047 Sncg Gaba || 049 Lamp5 Gaba,047 Sncg Gaba,049 Lamp5 Gaba,0.22857142857142856
sample_1,C57BL6J-1.026,047 Sncg Gaba || 051 Pvalb chandelier Gaba,047 Sncg Gaba,051 Pvalb chandelier Gaba,0.2571428571428571
sample_1,C57BL6J-1.026,047 Sncg Gaba || 053 Sst Gaba,047 Sncg Gaba,053 Sst Gaba,0.05714285714285714
sample_1,C57BL6J-1.026,047 Sncg Gaba || 049 Lamp5 Gaba,047 Sncg Gaba,049 Lamp5 Gaba,1.0
sample_1,C57BL6J-1.026,049 Lamp5 Gaba || 051 Pvalb chandelier Gaba,049 Lamp5 Gaba,051 Pvalb chandelier Gaba,0.22857142857142856
sample_1,C57BL6J-1.026,049 Lamp5 Gaba || 051 Pvalb chandelier Gaba,049 Lamp5 Gaba,051 Pvalb chandelier Gaba,0.25
sample_1,C57BL6J-1.026,046 Vip Gaba || 047 Sncg Gaba,046 Vip Gaba,047 Sncg Gaba,0.6111111111111112
sample_1,C57BL6J-1.026,046 Vip Gaba || 051 Pvalb chandelier Gaba,046 Vip Gaba,051 Pvalb chandelier Gaba,0.7222222222222222
sample_1,C57BL6J-1.026,046 Vip Gaba || 052 Pvalb Gaba,046 Vip Gaba,052 Pvalb Gaba,0.2222222222222222
sample_1,C57BL6J-1.026,047 Sncg Gaba || 051 Pvalb chandelier Gaba,047 Sncg Gaba,051 Pvalb chandelier Gaba,0.34375
sample_1,C57BL6J-1.026,047 Sncg Gaba || 052 Pvalb Gaba,047 Sncg Gaba,052 Pvalb Gaba,0.34375
sample_1,C57BL6J-1.026,051 Pvalb chandelier Gaba || 052 Pvalb Gaba,051 Pvalb chandelier Gaba,052 Pvalb Gaba,0.018867924528301886
